,particulares,aseguradoras,aseguradoras_enfermedad,aseguradoreas_trafico,mutuas,tipo,año,ncodi
2781,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"42,00"
2782,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"31,00"
2783,56582.0,169476.0,169476.0,0.0,0.0,hospDia,2013,"740,00"
2784,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"217,00"
2785,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"863,00"
2786,68286.0,138196.0,138196.0,0.0,0.0,hospDia,2013,"889,00"
2787,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"984,00"
2788,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"34,00"
2789,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"791,00"
2790,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"181,00"
2791,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"430,00"
2792,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"495,00"
2793,0.0,7648.0,0.0,7648.0,0.0,hospDia,2013,"845,00"
2794,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"498,00"
2795,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"314,00"
2796,10391.0,862712.0,862712.0,0.0,0.0,hospDia,2013,"720,00"
2797,360.0,38360.0,1224.0,37136.0,0.0,hospDia,2013,"721,00"
2798,174620.0,13240.0,13240.0,0.0,0.0,hospDia,2013,"485,00"
2799,0.0,5900256.0,5900256.0,0.0,0.0,hospDia,2013,"273,00"
2800,2430.0,0.0,0.0,0.0,0.0,hospDia,2013,"846,00"
2801,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"847,00"
2802,45543.0,2373316.0,2373316.0,0.0,0.0,hospDia,2013,"848,00"
2803,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"864,00"
2804,617564.0,9758025.0,9758025.0,0.0,0.0,hospDia,2013,"916,00"
2805,2510.0,400000.0,400000.0,0.0,0.0,hospDia,2013,"930,00"
2806,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"954,00"
2807,20692.0,1086429.0,1086429.0,0.0,0.0,hospDia,2013,"943,00"
2808,10060.0,74613.0,74613.0,0.0,0.0,hospDia,2013,"949,00"
2809,10469.0,0.0,0.0,0.0,0.0,hospDia,2013,"980,00"
2810,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"981,00"
2811,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"1024,00"
2812,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"1017,00"
2813,632544.0,13905245.0,13905245.0,0.0,312.0,hospDia,2013,"1000,00"
2814,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"1018,00"
2815,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"1001,00"
2816,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"1007,00"
2817,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"1008,00"
2818,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"1009,00"
2819,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"1010,00"
2820,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"1011,00"
2821,0.0,817.0,817.0,0.0,0.0,hospDia,2013,"1012,00"
2822,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"1013,00"
2823,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"1041,00"
2824,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"1073,00"
2825,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"1087,00"
2826,4430.0,0.0,0.0,0.0,0.0,hospDia,2013,"789,00"
2827,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"326,00"
2828,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"442,00"
2829,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"294,00"
2830,2690.0,18030.0,18030.0,0.0,1020.0,hospDia,2013,"378,00"
2831,150761.0,237757.0,178935.0,58822.0,18743.0,hospDia,2013,"402,00"
2832,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"29,00"
2833,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"450,00"
2834,0.0,600.0,0.0,600.0,0.0,hospDia,2013,"656,00"
2835,481796.0,2341489.0,2341489.0,0.0,31366.0,hospDia,2013,"333,00"
2836,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"668,00"
2837,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"684,00"
2838,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"422,00"
2839,337804.0,0.0,0.0,0.0,0.0,hospDia,2013,"763,00"
2840,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"741,00"
2841,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"553,00"
2842,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"357,00"
2843,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"899,00"
2844,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"900,00"
2845,2750.0,0.0,0.0,0.0,0.0,hospDia,2013,"932,00"
2846,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"950,00"
2847,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"966,00"
2848,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"967,00"
2849,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"982,00"
2850,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"1014,00"
2851,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"1048,00"
2852,590448.0,1216895.0,1210750.0,6145.0,5871.0,hospDia,2013,"1080,00"
2853,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"1074,00"
2854,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"722,00"
2855,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"660,00"
2856,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"75,00"
2857,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"249,00"
2858,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"275,00"
2859,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"227,00"
2860,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"150,00"
2861,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"47,00"
2862,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"172,00"
2863,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"581,00"
2864,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"120,00"
2865,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"445,00"
2866,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"471,00"
2867,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"53,00"
2868,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"199,00"
2869,6231.0,7744.0,3440.0,4304.0,9798.0,hospDia,2013,"575,00"
2870,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"528,00"
2871,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"631,00"
2872,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"699,00"
2873,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"823,00"
2874,15555.0,245315.0,8997.0,236318.0,82855.0,hospDia,2013,"849,00"
2875,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"869,00"
2876,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"955,00"
2877,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"983,00"
2878,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"1002,00"
2879,22273.0,29388.0,21112.0,8276.0,25202.0,hospDia,2013,"1015,00"
2880,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"51,00"
2881,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"441,00"
2882,2419.0,14839.0,14839.0,0.0,334.0,hospDia,2013,"715,00"
2883,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"521,00"
2884,5763.0,90659.0,90659.0,0.0,632.0,hospDia,2013,"524,00"
2885,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"432,00"
2886,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"19,00"
2887,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"25,00"
2888,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"26,00"
2889,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"890,00"
2890,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"904,00"
2891,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"957,00"
2892,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"939,00"
2893,317385.0,1687673.0,1619696.0,67977.0,11054.0,hospDia,2013,"236,00"
